id,family,symbol,lookback,vol_win,n,k
voltarget_mom|SPXUSD|lookback48_vol_win24,voltarget_mom,SPXUSD,48.0,24.0,,
voltarget_mom|USDJPY|lookback48_vol_win24,voltarget_mom,USDJPY,48.0,24.0,,
voltarget_mom|XAUUSD|lookback48_vol_win24,voltarget_mom,XAUUSD,48.0,24.0,,
voltarget_mom|ETHUSD|lookback48_vol_win24,voltarget_mom,ETHUSD,48.0,24.0,,
voltarget_mom|SPXUSD|lookback48_vol_win72,voltarget_mom,SPXUSD,48.0,72.0,,
voltarget_mom|USDJPY|lookback48_vol_win72,voltarget_mom,USDJPY,48.0,72.0,,
voltarget_mom|XAUUSD|lookback48_vol_win72,voltarget_mom,XAUUSD,48.0,72.0,,
voltarget_mom|ETHUSD|lookback48_vol_win72,voltarget_mom,ETHUSD,48.0,72.0,,
voltarget_mom|SPXUSD|lookback48_vol_win168,voltarget_mom,SPXUSD,48.0,168.0,,
voltarget_mom|USDJPY|lookback48_vol_win168,voltarget_mom,USDJPY,48.0,168.0,,
voltarget_mom|XAUUSD|lookback48_vol_win168,voltarget_mom,XAUUSD,48.0,168.0,,
voltarget_mom|ETHUSD|lookback48_vol_win168,voltarget_mom,ETHUSD,48.0,168.0,,
voltarget_mom|SPXUSD|lookback240_vol_win24,voltarget_mom,SPXUSD,240.0,24.0,,
voltarget_mom|USDJPY|lookback240_vol_win24,voltarget_mom,USDJPY,240.0,24.0,,
voltarget_mom|XAUUSD|lookback240_vol_win24,voltarget_mom,XAUUSD,240.0,24.0,,
voltarget_mom|ETHUSD|lookback240_vol_win24,voltarget_mom,ETHUSD,240.0,24.0,,
voltarget_mom|SPXUSD|lookback240_vol_win72,voltarget_mom,SPXUSD,240.0,72.0,,
voltarget_mom|USDJPY|lookback240_vol_win72,voltarget_mom,USDJPY,240.0,72.0,,
voltarget_mom|XAUUSD|lookback240_vol_win72,voltarget_mom,XAUUSD,240.0,72.0,,
voltarget_mom|ETHUSD|lookback240_vol_win72,voltarget_mom,ETHUSD,240.0,72.0,,
voltarget_mom|SPXUSD|lookback240_vol_win168,voltarget_mom,SPXUSD,240.0,168.0,,
voltarget_mom|USDJPY|lookback240_vol_win168,voltarget_mom,USDJPY,240.0,168.0,,
voltarget_mom|XAUUSD|lookback240_vol_win168,voltarget_mom,XAUUSD,240.0,168.0,,
voltarget_mom|ETHUSD|lookback240_vol_win168,voltarget_mom,ETHUSD,240.0,168.0,,
bollinger_revert|SPXUSD|n24_k1,bollinger_revert,SPXUSD,,,24.0,1.0
bollinger_revert|USDJPY|n24_k1,bollinger_revert,USDJPY,,,24.0,1.0
bollinger_revert|XAUUSD|n24_k1,bollinger_revert,XAUUSD,,,24.0,1.0
bollinger_revert|ETHUSD|n24_k1,bollinger_revert,ETHUSD,,,24.0,1.0
bollinger_revert|SPXUSD|n24_k1.5,bollinger_revert,SPXUSD,,,24.0,1.5
bollinger_revert|USDJPY|n24_k1.5,bollinger_revert,USDJPY,,,24.0,1.5
bollinger_revert|XAUUSD|n24_k1.5,bollinger_revert,XAUUSD,,,24.0,1.5
bollinger_revert|ETHUSD|n24_k1.5,bollinger_revert,ETHUSD,,,24.0,1.5
bollinger_revert|SPXUSD|n24_k2,bollinger_revert,SPXUSD,,,24.0,2.0
bollinger_revert|USDJPY|n24_k2,bollinger_revert,USDJPY,,,24.0,2.0
bollinger_revert|XAUUSD|n24_k2,bollinger_revert,XAUUSD,,,24.0,2.0
bollinger_revert|ETHUSD|n24_k2,bollinger_revert,ETHUSD,,,24.0,2.0
bollinger_revert|SPXUSD|n96_k1,bollinger_revert,SPXUSD,,,96.0,1.0
bollinger_revert|USDJPY|n96_k1,bollinger_revert,USDJPY,,,96.0,1.0
bollinger_revert|XAUUSD|n96_k1,bollinger_revert,XAUUSD,,,96.0,1.0
bollinger_revert|ETHUSD|n96_k1,bollinger_revert,ETHUSD,,,96.0,1.0
bollinger_revert|SPXUSD|n96_k1.5,bollinger_revert,SPXUSD,,,96.0,1.5
bollinger_revert|USDJPY|n96_k1.5,bollinger_revert,USDJPY,,,96.0,1.5
bollinger_revert|XAUUSD|n96_k1.5,bollinger_revert,XAUUSD,,,96.0,1.5
bollinger_revert|ETHUSD|n96_k1.5,bollinger_revert,ETHUSD,,,96.0,1.5
bollinger_revert|SPXUSD|n96_k2,bollinger_revert,SPXUSD,,,96.0,2.0
bollinger_revert|USDJPY|n96_k2,bollinger_revert,USDJPY,,,96.0,2.0
bollinger_revert|XAUUSD|n96_k2,bollinger_revert,XAUUSD,,,96.0,2.0
bollinger_revert|ETHUSD|n96_k2,bollinger_revert,ETHUSD,,,96.0,2.0
